,,,,,,,,,,,,,,,,,,,,,,ListofBrooklynBuildings Containing StabilizedUnits,,,,,,,,,,,,,,,,,,,,,,,,,,,,

ZIP,,,BLDGNO1,,,,STREET1,,,,,STSUFX1,,,,BLDGNO2,,,,STREET2,,,STSUFX2,,,COUNTY,,,CITY,,,,STATUS1,,,STATUS2,,,,,,STATUS3,,BLOCK,,,,LOT,,
ZIP,,,BLDGNO1,,,,,STREET1,,,,,,,STSUFX1,,,,BLDGNO2,,,,STREET2,,,,STSUFX2,,,,COUNTY,,,CITY,,,,STATUS1,,,STATUS2,,,,,,STATUS3,,,BLOCK,,,,,LOT,,

11201,,,223,,,,,CONGRESS,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,297,,,,,33,,

11201,,,54 TO 56,,,,,COURT,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,COOP/CONDO PLANFILE,,,,,,,,,265,,,,,50,,

11201,,,119,,,,,COURT,,,,,,,ST,,,,183,,,,STATE,,,,ST,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,,,271,,,,,18,,

11201,,,125,,,,,COURT,,,,,,,ST,,,,211 TO 235,,,,ATLANTIC,,,,AVE,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,,,277,,,,,7501,,

11201,,,145 TO 147,,,,,COURT,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,278,,,,,15,,

11201,,,155,,,,,COURT,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,279,,,,,21,,

11201,,,156,,,,,COURT,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,292,,,,,32,,

11201,,,157,,,,,COURT,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,279,,,,,20,,

11201,,,171,,,,,COURT,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,280,,,,,22,,

11201,,,191,,,,,COURT,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,384,,,,,7,,

11201,,,194,,,,,COURT,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,302,,,,,37,,

11201,,,196,,,,,COURT,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,302,,,,,39,,

